,pk,URL,news_headline,impact_type,translated
0,2236,https://esg.businesstoday.com.tw/article/category/180687/post/202210180007,讓剩食成為「驚喜包」！新創Foodsi如何從500萬噸食物浪費，找到重生商機？,0,"Let the leftovers become a ""surprise package""! How does Xinchuang FoodSi waste from 5 million tons of food and find rebuilding business opportunities?"
1,506,https://esg.businesstoday.com.tw/article/category/180688/post/202011110040,傳統學制崩解？未來教育已成形,3,The traditional academic system collapse? Future education has taken shape
2,184,https://esg.businesstoday.com.tw/article/category/180687/post/201912160029,不購物的一年！減少衣服的「3個要領」，你只需要一個筆記本,4,"One year without shopping! Reduce the ""three essentials"" of clothes, you only need one notebook"
3,1005,https://esg.businesstoday.com.tw/article/category/180687/post/202108240045,中鋼汽電共生鍋爐 全面停用燃煤發電,0,Sinosteel Steel Electric Symbiosis Boiler fulfills coal -fired power generation
4,235,https://esg.businesstoday.com.tw/article/category/180687/post/202005040008,一晚要價五千元照樣預約一空　勤美如何翻轉老樂園成全台最夯野宿體驗？,0,"How to make an appointment for 5,000 yuan in one night, how can I turn the old paradise to turn the old paradise into Taiwan's most rammed hobby experience?"
5,572,https://esg.businesstoday.com.tw/article/category/180687/post/202012210026,訂餐介面多一個功能！foodpanda企業責任目標：2021年垃圾減量1500萬公斤,0,"One function of ordering interface! FOODPANDA Enterprise Responsibility Objective: In 2021, garbage minus 15 million kg"
6,1593,https://esg.businesstoday.com.tw/article/category/180687/post/202203040001,跟著碳盤查資訊永續投資！排碳大戶分四階段全都露,3,Follow the carbon disk to investigate the information permanent investment! The carbon discharge households are all exposed in four stages
7,274,https://esg.businesstoday.com.tw/article/category/180687/post/202006240012,永續新思維　如何掌握後疫時代的綠色振興,3,How to master the green revitalization of the post -epidemic era
8,1789,https://esg.businesstoday.com.tw/article/category/190807/post/202204270062,五年減排560萬噸碳！國發會通過資源循環計畫，目標2027年前減1.25億個一次性用品,3,"5.6 million tons of carbon reduction in five years! The National Development Council passed the resource cycle plan, and the target reduced 125 million disposable supplies by 2027"
9,1592,https://esg.businesstoday.com.tw/article/category/180687/post/202203040013,50元就能買到雞腿便當？Tasteme怎麼把棘手的「剩食」問題變成一門好生意,0,"Can you buy chicken leg bento in 50 yuan? How does TASTEME turn the difficult ""leftovers"" problem into a good business?"
10,381,https://esg.businesstoday.com.tw/article/category/180688/post/202009220029,如何與孩子談性？陶晶瑩的性愛自修室　父母要先知道自己性教育拿幾分,4,How to talk to children? Tao Jingying's sex self -cultivated parents must first know how to get sex education for a few points
11,1604,https://esg.businesstoday.com.tw/article/category/180689/post/202202100021,一杯咖啡決定創業！陽光伏特家創辦人陳惠萍：人不該因性別而侷限自己人生的選擇,0,"A cup of coffee decides to start a business! Chen Huiping, founder of Sunshine Volt Family: People should not limit their choice of life due to gender"
12,606,https://esg.businesstoday.com.tw/article/category/180687/post/202101060030,拚太陽光電進度達標》沈榮津：政府推漁電共生　這4管齊下,3,"Fighting Sun Optoelectronics Metro Standard ""Shen Rongjin: The government's 4 tube of the coexistence of fishing and electricity in the government"
13,2259,https://esg.businesstoday.com.tw/article/category/180687/post/202210260018,地球上所有生命的生存保衛戰！氣候變遷有哪些解決方案？您不可不知的十大關鍵方法,3,All life and defense war on the earth! What are the solutions for climate change? The top ten key methods you must know
14,1186,https://esg.businesstoday.com.tw/article/category/180687/post/202110290005,「以每噸3美元而言，全球碳價仍然太低」！富達國際投資長：加速減碳，成敗就看COP26,3,"""In terms of $ 3 per ton, global carbon prices are still too low!"" Fidelity International Investment: Accelerate carbon reduction, the success or failure depends on COP26"
15,2005,https://esg.businesstoday.com.tw/article/category/180688/post/202207180031,科技重塑金融服務樣貌 玉山擁抱科技 打造健康有韌性的組織,0,Science and technology reshape financial services. Yushan embraces technology to create a healthy and tough organization
16,1165,https://esg.businesstoday.com.tw/article/category/180687/post/202110250021,台達50週年大秀綠色實力！3500人參與的音樂會如何達到零碳目標？,0,"Taida's 50th anniversary show green strength! How can 3,500 people participate in zero carbon target?"
17,554,https://esg.businesstoday.com.tw/article/category/180688/post/202012100011,最強館長棄百萬年薪！ 砸千萬退休金只為做「這件事」！,3,"The strongest museum has abandoned millions of annual salary! Smaller pensions are just to do ""this matter""!"
18,1313,https://esg.businesstoday.com.tw/article/category/180688/post/202112010002,損失近 4 億營收！化妝品品牌 LUSH 為何一口氣關了臉書、IG、TikTok等社群平台？,1,"Loss nearly 400 million revenue! Why did the cosmetic brand LUSH turn off the social platforms such as Facebook, IG, TIKTOK?"
19,875,https://esg.businesstoday.com.tw/article/category/180687/post/202107050040,台泥股東會通過配息3.5元，董座張安平：全力轉型綠色企業,0,"Taibu's shareholders will pass the dividend of 3.5 yuan, Dong Zhenping Zhang Anping: fully transforming green enterprises"
20,2309,https://esg.businesstoday.com.tw/article/category/180688/post/202211090053,每瓶鮮乳都能公平賣出、讓供應商獲得合理報酬... 鮮乳坊如何靠「超透明」年營收6億,0,"Each bottle of fresh milk can be sold fairly, so that the supplier gets reasonable remuneration ... How does fresh milk workshop rely on ""ultra -transparent"" annual revenue of 600 million"
21,397,https://esg.businesstoday.com.tw/article/category/180687/post/202009260025,別以為做ESG就是行善而已...一則寓言故事看懂：永續經營的真正含意,3,Don't think that doing ESG is just doing good ... A fable story understands: the true meaning of sustainable operation
22,1946,https://esg.businesstoday.com.tw/article/category/190807/post/202206300039,「恢復‧再出發」迎向疫後 回歸日常 花旗全球義工日號召員工減塑、清消輪椅 關懷身障者心理健康,0,"""Restore ‧ Starting"" welcomes the return of daily Citi Global Volunteer Day calling on employees to reduce plasticity and clear up wheelchair to care for the mental health"
23,1106,https://esg.businesstoday.com.tw/article/category/190807/post/202110050025,2021世界環境清潔日Be Cool！讓地球降溫吧！,3,2021 World Environment Clean Day be cool! Let the earth cool down!
24,31,https://esg.businesstoday.com.tw/article/category/180688/post/201803070007,創造可以共享的價值,3,Create the value that can be shared
25,183,https://esg.businesstoday.com.tw/article/category/180687/post/201912120035,瑞典少女為氣候變遷發聲，獲選時代雜誌年度風雲人物　卻因「這原因」引發爭議,3,"Swedish girls spoke for climate change, and the annual character of the selected era magazine caused controversy for ""reason"""
26,465,https://esg.businesstoday.com.tw/article/category/180687/post/202010210063,企業減碳　提升綠色競爭力,3,Enterprise carbon reduction enhances green competitiveness
27,2048,https://esg.businesstoday.com.tw/article/category/190807/post/202208100051,花旗攜台灣綠能公益發展協會、陽光伏特家，創造國內首例公益碳權,0,Citi bring Taiwan Green Energy Public Welfare Development Association and Sunshine Volt House to create the first domestic public welfare carbon rights
28,1245,https://esg.businesstoday.com.tw/article/category/180689/post/202111110047,老公司搏轉型！沉默50年的大同寶寶會說話，幕後推手竟是他...,0,"The old company rotates! Datong, who was silent for 50 years, would speak, and it was him behind the scenes ..."
29,717,https://esg.businesstoday.com.tw/article/category/180687/post/202103160039,福島核災10年了...前首相菅直人告白：核電真的便宜到需要國民賭命嗎？,3,For 10 years for Fukushima nuclear disaster ... Former Prime Minister Naoto Naoto Confession: Nuclear power is really cheap enough to need national gambling?
30,2415,https://esg.businesstoday.com.tw/article/category/190807/post/202212080009,你有感嗎？吃什麼都好貴！餐廳單價大漲二成，解封後將迎接「吃不起的年代」,3,Do you feel? It's expensive to eat anything! The unit price of the restaurant has risen by 20 %.
31,2079,https://esg.businesstoday.com.tw/article/category/180688/post/202208220020,耗時8年研發！JR東海啟動最新混合式特急列車，大幅削減3成碳排,0,"It takes 8 years to develop! JR East China Sea launched the latest hybrid special emergency train, which greatly reduced 30 % carbon row"
32,132,https://esg.businesstoday.com.tw/article/category/180687/post/201906120007,處變不驚的「碳」為觀止,3,"The ""carbon"" that is not shocked is obsessed"
33,1109,https://esg.businesstoday.com.tw/article/category/180687/post/202110050032,什麼是碳中和、淨零碳排？一次看懂全球環保趨勢：碳中和是永續發展關鍵,3,What is carbon neutralization and net zero carbon row? Understand the global environmental trend once: carbon neutrality is the key to sustainable development
34,1886,https://esg.businesstoday.com.tw/article/category/190807/post/202206020050,台新金、新光金「兄弟準備山頂會合」？合併可能玩真的！台新成立合併研究小組進行評估,2,"Taishinjin and Xinguangjin ""Brothers are preparing for the top of the mountain""? The merger may play real! Taishin's establishment of a consolidated research team for evaluation"
35,2272,https://esg.businesstoday.com.tw/article/category/190807/post/202210250029,7-11咖啡限時一週免費喝！找出家中寶特瓶、廢電池來換，CITY CAFE拿鐵、美式就送你,0,7-11 Coffee for a week for a week for free! Find out the treasure bottle and waste battery in the family to change it.
36,2400,https://esg.businesstoday.com.tw/article/category/180689/post/202212020028,漂綠是門好生意？破解12項可能手法，避免成為企業漂綠幫兇,3,River green is a good business? Crack the 12 possible techniques to avoid becoming a corporate drifting.
37,610,https://esg.businesstoday.com.tw/article/category/180687/post/202101080025,9成台灣人有回收習慣，卻有4成資源被丟掉！圖解101種常見垃圾,3,"90 % of Taiwanese have the habit of recycling, but 40 % of resources have been lost! Illustration 101 common garbage"
38,2423,https://esg.businesstoday.com.tw/article/category/190807/post/202212130011,首波冷氣團就直衝「寒流」等級！週末全台急凍最低探4℃，一圖看懂各地低溫...這天才會回暖,3,"The first wave of air -conditioned groups went straight to the ""cold current"" level! The minimum frozen in Taiwan on weekends is 4 ° C. One picture understands the low temperature in various places ... this day will be heated back on this day"
39,55,https://esg.businesstoday.com.tw/article/category/180687/post/201808010027,通路商攜手小農  打造食物信任度,3,Tongtong merchants join hands with small farmers to build food trust
40,272,https://esg.businesstoday.com.tw/article/category/180687/post/202006230060,破除GDP迷思的 7 個思考！解讀《甜甜圈經濟學》,3,"Seven thoughts to break the GDP myth! Interpret ""Glose Economics"""
41,137,https://esg.businesstoday.com.tw/article/category/180689/post/201907170010,為何行善有助永續經營？,3,Why do good help to continue to operate forever?
42,2425,https://esg.businesstoday.com.tw/article/category/180687/post/202212130023,洗手液不裝在塑膠瓶販售，要如何送到消費者手上？倫敦包裝設計師：減少浪費是我的首要任務,0,Do not install it in a plastic bottle for sale. How can I send it to consumers? London packaging designer: reducing waste is my primary task
43,1805,https://esg.businesstoday.com.tw/article/category/180687/post/202205050010,份量越多越好？「減少食物浪費」成消費新主張，餐廳如何做到永續？,2,"The more the portion, the better? ""Reducing food waste"" has become a new proposition of consumption."
44,1390,https://esg.businesstoday.com.tw/article/category/180688/post/202112200013,玉山金控長期支持醫療發展 一起守護健康！,0,Yushan Golden Control has long supported medical development to guard health together!
45,696,https://esg.businesstoday.com.tw/article/category/180687/post/202103080052,為何循環經濟能細水長流，卻不利短期財務數字？永續發展的5大商模,3,"Why can the circular economy be fine and long, but it is not good for short -term financial figures? Five major business models of sustainable development"
46,1290,https://esg.businesstoday.com.tw/article/category/190807/post/202111240007,不捨！推動全球ESG發展、將永續觀點帶進台灣，今周刊專欄作者林羿成車禍過世,3,"Don't give up! Promote the development of global ESG and bring sustainable views into Taiwan, Lin Yi, the author of this weekly column, died in a car accident."
47,1139,https://esg.businesstoday.com.tw/article/category/180687/post/202110140009,氣候變遷危機》受不了高溫！幼鳥紛紛跳出鳥巢，導致大量鳥類死亡,3,"""Climate Change Crisis"" cannot stand high temperature! Young birds jumped out of the bird's nest, causing a large number of birds to die"
48,867,https://esg.businesstoday.com.tw/article/category/180688/post/202106280009,整理包》疫苗殘劑開放18歲以上候補接種，各縣市規畫預約方式,4,"Organization package ""Vaccine residue is open for vaccination 18 years old, counties and cities planning and appointment methods"
49,2380,https://esg.businesstoday.com.tw/article/category/180687/post/202211250011,耗時 9 年只為打造 100% 可回收瓶蓋！番茄醬龍頭品牌挑戰永續新包裝,0,It takes 9 years to create a 100% recyclable bottle cap! Tomato sauce leading brand challenge new packaging
50,765,https://esg.businesstoday.com.tw/article/category/180687/post/202104140064,盜獵難解，原住民文化背黑鍋？生態永續、動物福利大辯論：界線何在？,3,"Sherry is difficult to solve, the aboriginal culture back black pot? Ecological sustainability, animal welfare debate: What is the boundary?"
51,685,https://esg.businesstoday.com.tw/article/category/190807/post/202103040018,聯電深耕ESG有成！公司治理評鑑排名前5％、連續13年入選DJSI,0,"UMC deeply cultivated ESG! The top 5 % of the company's governance evaluation ranking, selected into DJSI for 13 consecutive years"
52,1161,https://esg.businesstoday.com.tw/article/category/180687/post/202110210012,碳足跡定義是什麼？看懂碳足跡標籤才能真正綠色消費,3,What is the definition of carbon footprints? Understand carbon footprint labels to truly green consumption
53,1911,https://esg.businesstoday.com.tw/article/category/180689/post/202206200014,全球供應鏈 25 強出爐！輝瑞、AZ 藥廠進榜，ESG 成為供應鏈關鍵競爭力？,3,"The top 25 global supply chain is released! Pfizer and AZ Pharmaceuticals entered the list, ESG became the key competitiveness of the supply chain?"
